Date-Time,"S-W-AHU-1 Control Temperature (No Units)"
2024-12-31 09:25:07,73
2024-12-31 09:30:07,71
2024-12-31 09:35:07,69.5
2024-12-31 09:40:07,69
2024-12-31 09:45:07,73
2024-12-31 09:50:07,71.5
2024-12-31 09:55:07,69.5
2024-12-31 10:00:07,68.5
2024-12-31 10:05:07,72.5
2024-12-31 10:10:07,72
2024-12-31 10:15:07,69.5
2024-12-31 10:20:07,68.5
2024-12-31 10:25:07,72
2024-12-31 10:30:07,72
2024-12-31 10:35:07,69.5
2024-12-31 10:40:07,68.5
2024-12-31 10:45:07,72
2024-12-31 10:50:07,72
2024-12-31 10:55:07,69.5
2024-12-31 11:00:07,68.5
2024-12-31 11:05:07,72.5
2024-12-31 11:10:07,71.5
2024-12-31 11:15:07,69.5
2024-12-31 11:20:07,68.5
2024-12-31 11:25:07,72.5
2024-12-31 11:30:07,71.5
2024-12-31 11:35:07,69.5
2024-12-31 11:40:07,69
2024-12-31 11:45:07,73
2024-12-31 11:50:07,71

