Date-Time,"Space Temperature (No Units)"
2024-12-14 11:20:09,69
2024-12-14 11:25:09,69
2024-12-14 11:30:09,69
2024-12-14 11:35:09,68.5
2024-12-14 11:40:09,69
2024-12-14 11:45:09,69
2024-12-14 11:50:09,69
2024-12-14 11:55:09,68.5
2024-12-14 12:00:09,68.5
2024-12-14 12:05:09,69
2024-12-14 12:10:09,69
2024-12-14 12:15:09,68.5
2024-12-14 12:20:09,69
2024-12-14 12:25:09,69
2024-12-14 12:30:09,69
2024-12-14 12:35:09,68.5
2024-12-14 12:40:09,68.5
2024-12-14 12:45:09,69
2024-12-14 12:50:09,69
2024-12-14 12:55:09,69
2024-12-14 13:00:09,68.5
2024-12-14 13:05:09,68.5
2024-12-14 13:10:09,69
2024-12-14 13:15:09,69
2024-12-14 13:20:09,68.5
2024-12-14 13:25:09,68.5
2024-12-14 13:30:09,69
2024-12-14 13:35:09,69
2024-12-14 13:40:09,68.5
2024-12-14 13:45:09,68.5
2024-12-14 13:50:09,69
2024-12-14 13:55:09,69
2024-12-14 14:00:09,69
2024-12-14 14:05:09,68.5
2024-12-14 14:10:09,69
2024-12-14 14:15:09,69
2024-12-14 14:20:09,69
2024-12-14 14:25:09,68.5
2024-12-14 14:30:09,68.5
2024-12-14 14:35:09,69
2024-12-14 14:40:09,69
2024-12-14 14:45:09,69
2024-12-14 14:50:09,68.5
2024-12-14 14:55:09,69
2024-12-14 15:00:09,69
2024-12-14 15:05:09,68.5
2024-12-14 15:10:09,68.5
2024-12-14 15:15:09,69
2024-12-14 15:20:09,69
2024-12-14 15:25:09,69
2024-12-14 15:30:09,68.5
2024-12-14 15:35:09,69
2024-12-14 15:40:09,69
2024-12-14 15:45:09,69
2024-12-14 15:50:09,68.5
2024-12-14 15:55:09,69
2024-12-14 16:00:09,69
2024-12-14 16:05:09,69
2024-12-14 16:10:09,68.5
2024-12-14 16:15:09,68.5
2024-12-14 16:20:09,69
2024-12-14 16:25:09,69
2024-12-14 16:30:09,68.5
2024-12-14 16:35:09,69
2024-12-14 16:40:09,69
2024-12-14 16:45:09,69
2024-12-14 16:50:09,68.5
2024-12-14 16:55:09,69
2024-12-14 17:00:09,69
2024-12-14 17:05:09,69
2024-12-14 17:10:09,68.5
2024-12-14 17:15:09,69
2024-12-14 17:20:09,69
2024-12-14 17:25:09,69
2024-12-14 17:30:09,68.5
2024-12-14 17:35:09,69
2024-12-14 17:40:09,69
2024-12-14 17:45:09,68.5
2024-12-14 17:50:09,68.5
2024-12-14 17:55:09,69
2024-12-14 18:00:09,69
2024-12-14 18:05:09,69
2024-12-14 18:10:09,68.5
2024-12-14 18:15:09,69
2024-12-14 18:20:09,69
2024-12-14 18:25:09,69
2024-12-14 18:30:09,68.5
2024-12-14 18:35:09,69
2024-12-14 18:40:09,69
2024-12-14 18:45:09,69
2024-12-14 18:50:09,68.5
2024-12-14 18:55:09,69
2024-12-14 19:00:09,69
2024-12-14 19:05:09,68.5
2024-12-14 19:10:09,68.5
2024-12-14 19:15:09,69
2024-12-14 19:20:09,69
2024-12-14 19:25:09,69
2024-12-14 19:30:09,68.5
2024-12-14 19:35:09,69
2024-12-14 19:40:09,69
2024-12-14 19:45:09,68.5
2024-12-14 19:50:09,69
2024-12-14 19:55:09,69
2024-12-14 20:00:09,69
2024-12-14 20:05:09,68.5
2024-12-14 20:10:09,69
2024-12-14 20:15:09,69
2024-12-14 20:20:09,69
2024-12-14 20:25:09,68.5
2024-12-14 20:30:09,69
2024-12-14 20:35:09,69
2024-12-14 20:40:09,68.5
2024-12-14 20:45:09,68.5
2024-12-14 20:50:09,69
2024-12-14 20:55:09,69
2024-12-14 21:00:09,68.5
2024-12-14 21:05:09,68.5
2024-12-14 21:10:09,69
2024-12-14 21:15:09,69
2024-12-14 21:20:09,68.5
2024-12-14 21:25:09,69
2024-12-14 21:30:09,69
2024-12-14 21:35:09,69
2024-12-14 21:40:09,68.5
2024-12-14 21:45:09,69
2024-12-14 21:50:09,69
2024-12-14 21:55:09,68.5
2024-12-14 22:00:09,68.5
2024-12-14 22:05:09,69
2024-12-14 22:10:09,69
2024-12-14 22:15:09,68.5
2024-12-14 22:20:09,69
2024-12-14 22:25:09,69
2024-12-14 22:30:09,69
2024-12-14 22:35:09,68.5
2024-12-14 22:40:09,69
2024-12-14 22:45:09,69
2024-12-14 22:50:09,69
2024-12-14 22:55:09,68.5
2024-12-14 23:00:09,69
2024-12-14 23:05:09,69
2024-12-14 23:10:09,68.5
2024-12-14 23:15:09,69
2024-12-14 23:20:09,69
2024-12-14 23:25:09,69
2024-12-14 23:30:09,68.5
2024-12-14 23:35:09,69
2024-12-14 23:40:09,69
2024-12-14 23:45:09,69
2024-12-14 23:50:09,68.5
2024-12-14 23:55:09,69
2024-12-15 00:00:09,69
2024-12-15 00:05:09,68.5
